"Item Name","Level","Description","Gil","Stock","Rate"
"crude sword","70","[Main] All Races
DPS: 1027 
LV 70 WAR PLD DRK RUN","50000","0","0.0867102"
"crudelis belt","82","[Waist] All Races

LV 82 WAR MNK THF BST BRD RNG SAM NIN DRG COR PUP DNC","10000","1","1.73969"
"cruel scythe","20","[Main] All Races
DPS: 468 
LV 20 DRK","10000","0","0.395281"
"cruel spear","20","[Main] All Races
DPS: 452 
LV 20 WAR PLD SAM DRG","10000","1","0.159783"
"crumhorn","56","[Ranged] All Races

LV 56 BRD","5000","1","0.0815581"
"crumhorn +1","56","[Ranged] All Races

LV 56 BRD","20000","0","0.119569"
"crumhorn +2","56","[Ranged] All Races

LV 56 BRD","70000","1","0.0824108"
"Cryohelix schema","0","","30000","8","0.758527"
"crystal bass","0","","8000","0","0.800835"
"crystal bass x12","0","","7000","0","0.100333"
"crystal rose","0","","10000","3","0.0227308"
"cuauhtli harness","90","[Body] All Races

LV 90 MNK THF BST RNG NIN BLU COR PUP DNC RUN","50000","0","0.202887"
"cuauhtli headpiece","90","[Head] All Races

LV 90 MNK THF BST RNG NIN BLU COR PUP DNC RUN","10000","0","1.20528"
"cuauhtli headpiece +1","90","[Head] All Races

LV 90 MNK THF BST RNG NIN BLU COR PUP DNC RUN","845000","0","0.340629"
"cube of cotton tofu","0","","5","0","0"
"cube of cotton tofu x12","0","","11","0","0"
"Cuchulain's belt","72","[Waist] All Races

LV 72 WAR RDM THF PLD DRK BST BRD RNG SAM NIN DRG BLU COR DNC RUN","50000","1","0.878749"
"Cuchulain's mantle","74","[Back] All Races

LV 74 WAR MNK RDM THF PLD DRK BST BRD RNG SAM NIN DRG BLU COR DNC RUN","40000","0","0.654175"
"cuffs","1","[Hands] All Races

LV 1 MNK WHM BLM RDM THF DRK BRD RNG SMN BLU COR PUP DNC SCH GEO RUN","1000","1","0.706258"
"cuffs +1","1","[Hands] All Races

LV 1 MNK WHM BLM RDM THF DRK BRD RNG SMN BLU COR PUP DNC SCH GEO RUN","2750","0","0.00962553"
"cuir bandana","38","[Head] All Races

LV 38 WAR RDM THF PLD DRK BST BRD RNG SAM NIN DRG BLU COR DNC RUN","3000","0","0.544933"
"cuir bandana +1","38","[Head] All Races

LV 38 WAR RDM THF PLD DRK BST BRD RNG SAM NIN DRG BLU COR DNC RUN","10000","0","0.0201299"
"cuir bouilli","38","[Body] All Races

LV 38 WAR RDM THF PLD DRK BST BRD RNG SAM NIN DRG BLU COR DNC RUN","20000","0","1.44328"
"cuir bouilli +1","38","[Body] All Races

LV 38 WAR RDM THF PLD DRK BST BRD RNG SAM NIN DRG BLU COR DNC RUN","10000","0","0.112781"
"cuir gloves","38","[Hands] All Races

LV 38 WAR RDM THF PLD DRK BST BRD RNG SAM NIN DRG BLU COR DNC RUN","10000","2","0.786221"
"cuir gloves +1","38","[Hands] All Races

LV 38 WAR RDM THF PLD DRK BST BRD RNG SAM NIN DRG BLU COR DNC RUN","10000","0","0.182215"
"cuir highboots","38","[Feet] All Races

LV 38 WAR RDM THF PLD DRK BST BRD RNG SAM NIN DRG BLU COR DNC RUN","10000","1","1.64574"
"cuir highboots +1","38","[Feet] All Races

LV 38 WAR RDM THF PLD DRK BST BRD RNG SAM NIN DRG BLU COR DNC RUN","10000","0","0.661107"
"cuir trousers","38","[Legs] All Races

LV 38 WAR RDM THF PLD DRK BST BRD RNG SAM NIN DRG BLU COR DNC RUN","2000","0","1.00054"
"cuir trousers +1","38","[Legs] All Races

LV 38 WAR RDM THF PLD DRK BST BRD RNG SAM NIN DRG BLU COR DNC RUN","10000","1","0.115011"
"cuisses","40","[Legs] All Races

LV 40 WAR PLD DRK","10000","0","0.113885"
"cuisses +1","40","[Legs] All Races

LV 40 WAR PLD DRK","50000","0","0.0121548"
"culverin","73","[Ranged] All Races
DPS: 395 
LV 73 THF RNG","50000","1","0.205519"
"culverin +1","73","[Ranged] All Races
DPS: 415 
LV 73 THF RNG","397500","0","0.0142814"
"cunning earring","29","[Ear] All Races

LV 29 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","10000","1","0.599379"
"cup of chai","0","","1000","0","0.0312412"
"cup of chai +1","0","","2000","0","0"
"cup of chamomile tea","0","","1000","0","0.0568441"
"cup of choco-delight","0","","10000","0","0.0105431"
"cup of chocomilk","0","","4000","1","3.53598"
"cup of healing tea","0","","4000","0","0.0131762"
"cup of Imperial coffee","0","","2000","0","0.217679"
"cup of Imperial coffee +1","0","","5000","0","0.0207279"
"cup of leech saliva","0","","500","1","0.0901698"
"cup of leech saliva x12","0","","3000","1",""
"cup of Windurstian tea","0","","2000","0","0.0198757"
"Cupid chocolate","0","","10000","9","0"
"cupid worm","0","","2000","1","0.413669"
"cupid worm x12","0","","10000","0","0"
"Curaga earring","42","[Ear] All Races

LV 42 WHM PLD","2000","0","0.060776"
"Cure clogs","59","[Feet] All Races

LV 59 WHM","10000","5","0.744975"
"cursed breastplate","0","","29000","4","0.0645297"
"cursed breeches","0","","5000","2","0.0623602"
"cursed breeches -1","0","","1500000","0","0"
"cursed cap","0","","10000","4","0.139742"
"cursed cap -1","0","","900000","0","0.578422"
"cursed celata","0","","20000","1","0.0595506"
"cursed celata -1","0","","1501000","0","0"
"cursed clogs","0","","10000","0","0.0260322"
"cursed clogs -1","0","","100000","0","0"
"cursed coat","0","","10000","0","0.0301627"
"cursed coat -1","0","","8500000","0","0"
"cursed crown","0","","20000","1","0.151235"
"cursed crown -1","0","","600000","0","0.225292"
"cursed cuffs","0","","10000","1","0.0266856"
"cursed cuffs -1","0","","6000000","0","0"
"cursed cuirass","0","","30000","1","0.120387"
"cursed cuirass -1","0","","7924040","0","0"
"cursed cuishes","0","","12500","0","0"
"cursed cuisses","0","","10000","1","0.368973"
"cursed cuisses -1","0","","1650000","0","0.870348"
"cursed dalmatica","0","","100000","2","0.419451"
"cursed dalmatica -1","0","","5000000","0","0"
"cursed diechlings","0","","10000","1","0.0634415"
"cursed diechlings -1","0","","2000000","0","0"
"cursed finger gauntlets","0","","5000","1","0.115094"
"cursed finger gauntlets -1","0","","900000","0","0.121732"
"cursed gauntlets","0","","15000","2","0"
"cursed gauntlets -1","0","","0","0","0"
"cursed gloves","0","","10000","12","0.116011"
"cursed gloves -1","0","","600000","0","0.177734"
"cursed greaves","0","","5000","1","0.089059"
"cursed greaves -1","0","","1000000","0","0.0685452"
"cursed haidate","0","","8000","1","0.11797"
"cursed haidate -1","0","","1000000","0","0.0728901"
"cursed handschuhs","0","","5000","2","0.100262"
"cursed handschuhs -1","0","","3000000","0","0"
"cursed harness","0","","30000","7","0.113234"
"cursed harness -1","0","","1400000","0","0.0937794"
"cursed hat","0","","10000","0","0"
"cursed hauberk","0","","100000","2","0.347717"
"cursed hauberk -1","0","","17000000","0","0.0537736"
"cursed helm","0","","30000","1","0"
"cursed kabuto","0","","5000","0","0.0783994"
"cursed kabuto -1","0","","2000000","0","0"
"cursed kote","0","","5000","0","0.0589456"
"cursed kote -1","0","","1000000","0","0"
"cursed leggings","0","","70000","7","0.0839257"
"cursed leggings -1","0","","600000","0","0.414806"
"cursed mail","0","","10000","0","0.138252"
"cursed mail -1","0","","4000000","0","0"
"cursed mask","0","","10000","1","0.06625"
"cursed mask -1","0","","1100000","0","0"
"cursed mitts","0","","10000","1","0.243145"
"cursed mitts -1","0","","1000000","0","0.0630069"
"cursed mufflers","0","","5000","4","0.128111"
"cursed mufflers -1","0","","2500000","0","0.0415878"
"cursed pumps","0","","15000","1","0.286058"
"cursed pumps -1","0","","3000000","0","0"
"cursed sabatons","0","","10000","0","0"
"cursed schaller","0","","7000","1","0.115617"
"cursed schaller -1","0","","2500000","0","0.00836185"
"cursed schuhs","0","","10000","0","0.0565579"
"cursed schuhs -1","0","","3000000","0","0"
"cursed slacks","0","","30000","1","0.15785"
"cursed slacks -1","0","","2000000","0","0.00819948"
"cursed sollerets","0","","5000","1","0.170455"
"cursed sollerets -1","0","","4000000","0","0.0806561"
"cursed subligar","0","","40000","5","0.0561977"
"cursed subligar -1","0","","755000","0","0.284212"
"cursed sune-ate","0","","7000","1","0"
"cursed sune-ate -1","0","","3000000","0","0"
"cursed togi","0","","10000","1","0.152072"
"cursed togi -1","0","","2000000","0","0"
"cursed trews","0","","10000","4","0.0367494"
"cursed trews -1","0","","44444444","0","0"
"custom F boots","29","[Feet] Hume Female

LV 29 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","40000","1","0.139514"
"custom F gloves","27","[Hands] Hume Female

LV 27 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","30000","0","0.109518"
"custom M boots","29","[Feet] Hume Male

LV 29 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","50000","0","0.269339"
"custom M gloves","27","[Hands] Hume Male

LV 27 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","20000","0","0.26002"
"custom pants","31","[Legs] Hume Female

LV 31 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","50000","0","0.121467"
"custom slacks","31","[Legs] Hume Male

LV 31 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","20555","1","0.26185"
"custom tunic","33","[Body] Hume Male

LV 33 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","50000","0","0.184832"
"custom vest","33","[Body] Hume Female

LV 33 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","25000","1","0.0896128"
"cutlass","62","[Main] All Races
DPS: 941 
LV 62 WAR THF DRK BST RNG SAM BLU","50000","2","0.158662"
"cutlass +1","62","[Main] All Races
DPS: 991 
LV 62 WAR THF DRK BST RNG SAM BLU","100000","0","0"
"Cythara Anglica","75","[Ranged] All Races

LV 75 BRD","10000","0","0.156727"
"Cythara Anglica +1","75","[Ranged] All Races

LV 75 BRD","40000","0","0.0324767"
"czar's belt","67","[Waist] All Races

LV 67 WAR RDM THF PLD DRK BST BRD RNG SAM NIN DRG BLU COR DNC RUN","65564","0","0"
"dabo","75","[Main] All Races
DPS: 1076 
LV 75 WAR PLD SAM DRG","80000","2","0"
"Dagda's shield","90","[Sub] All Races

LV 90 WAR PLD DRK","40000","1","0.531143"
"dagger","12","[Main] All Races
DPS: 230 
LV 12 WAR BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN SCH GEO","2000","0","1.15376"
"dagger +1","12","[Main] All Races
DPS: 270 
LV 12 WAR BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN SCH GEO","20000","0","0.351607"
"dagger belt","30","[Waist] All Races

LV 30 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","3000","0","0.0193624"
"dahlia","0","","1000","3","0.316578"
"dahlia x12","0","","0","0",""
"Daihannya","59","[Main] All Races
DPS: 960 
LV 59 SAM","20000","1","0.295884"
"damage gauge","0","","10000","2","0.56362"
"damage gauge x12","0","","100000","0","0"
"damascus ingot","0","","10000","16","3.80258"
"damascus ingot x12","0","","100000","4","0"
"damp scroll","0","","20000","1","1.2798"
"dance shoes","72","[Feet] All Races

LV 72 MNK WHM BLM RDM THF BST BRD RNG NIN SMN BLU PUP DNC SCH RUN","10000","1","0.23528"
"dance shoes +1","72","[Feet] All Races

LV 72 MNK WHM BLM RDM THF BST BRD RNG NIN SMN BLU PUP DNC SCH RUN","30000","0","0.210002"
"dancer die","0","","40000","0","0"
"danceshroom","0","","1000","1","0.796422"
"danceshroom x12","0","","20000","6","1.17482"
"dandy spectacles","30","[Head] All Races

LV 30 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","50000","1","0.160301"
"danzo tekko","69","[Hands] All Races

LV 69 MNK SAM NIN","10000","0","0.0816116"
"dark adaman bolt","89","[Ammo] All Races
DPS: 2094 
LV 89 RNG","1","0","0"
"dark adaman bolt quiver","0","","5000","1","2.04608"
"dark adaman bolt quiver x12","0","","250000","0","0"
"dark adaman bolt x99","89","[Ammo] All Races
DPS: 2094 
LV 89 RNG","10000","0","0.213232"
"dark adaman bullet","90","[Ammo] All Races
DPS: 2625 
LV 90 RNG","2050","0","0"
"dark adaman bullet pouch","0","","20000","2","1.86018"
"dark adaman bullet pouch x12","0","","500000","0","0.262958"
"dark adaman bullet x99","90","[Ammo] All Races
DPS: 2625 
LV 90 RNG","50000","0","2.07889"
"dark adaman ingot","0","","10000","8","4.50463"
"dark adaman ingot x12","0","","120000","1","0"
"dark amood","68","[Main] All Races
DPS: 1012 
LV 68 WAR","100000","0","0.0267116"
"dark amood +1","68","[Main] All Races
DPS: 1055 
LV 68 WAR","350000","0","0"
"dark bass","0","","900","1","0"
"dark bass x12","0","","5000","3","0.124768"
"dark bead","0","","10000","10","3.58872"
"dark bead x12","0","","500000","0",""
"dark bronze ingot","0","","10000","7","0"
"dark bronze ingot x12","0","","50000","0","0"
"dark bronze sheet","0","","10000","4","0.851984"
"dark bronze sheet x12","0","","100000","0","0"
"dark card","0","","994000000","0","0"
"dark card case","0","","8000","2","0.0465307"
"dark card case x12","0","","80000","0","0"
"dark card x99","0","","8000","0","0.0973364"
"dark cluster","0","","4000","1","4.0766"
"dark cluster x12","0","","70000","5","2.29674"
"dark crystal","0","","1000","1","4.13236"
"dark crystal x12","0","","2000","26","7.91832"
"dark earring","35","[Ear] All Races

LV 35 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","50000","2","0.063947"
"Dark Ixion ferrule","0","","40000","5","0"
"Dark Ixion ferrule x12","0","","450000","0","0"
"Dark Ixion horn","0","","10000","5","0.233037"
"Dark Ixion horn x12","0","","1","0",""
"Dark Ixion tail","0","","50000","11","0.652207"
"Dark Ixion tail x12","0","","1","0",""
"dark knight die","0","","10000","0","0.352138"
"dark lamp","0","","10000","5","0"
"dark mezraq","60","[Main] All Races
DPS: 988 
LV 60 DRG","70000","3","0.496219"
"dark mezraq +1","60","[Main] All Races
DPS: 1029 
LV 60 DRG","100000","0","0.0240043"
"dark ring","74","[Finger] All Races

LV 74 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","50000","1","0.0776721"
"Dark Spirit pact","0","","300000","5","0.942229"
"dark staff","51","[Main] All Races
DPS: 492 
LV 51 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","50000","4","2.44498"
"dark torque","65","[Neck] All Races

LV 65 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","23000","1","0.226083"
"darkflame arm","0","","5000","1","3.49213"
"darkling bolt","76","[Ammo] All Races
DPS: 1469 
LV 76 WAR DRK RNG","0","0","0"
"darkling bolt quiver","0","","4000","0","0.127013"
"darkling bolt quiver x12","0","","50000","0","0.0994108"
"darkling bolt x99","76","[Ammo] All Races
DPS: 1469 
LV 76 WAR DRK RNG","6000","0","0"
"darkness earring","76","[Ear] All Races

LV 76 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","20000","1","0"
"darkness pearl","86","[Ear] All Races

LV 86 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","30000","0","0.124783"
"darksteel armet","65","[Head] All Races

LV 65 PLD DRK","40000","3","0.0220414"
"darksteel armet +1","65","[Head] All Races

LV 65 PLD DRK","200000","0","0"
"darksteel axe","56","[Main] All Races
DPS: 872 
LV 56 WAR DRK BST RNG RUN","10000","0","1.38305"
"darksteel axe +1","56","[Main] All Races
DPS: 918 
LV 56 WAR DRK BST RNG RUN","50000","0","0.307172"
"darksteel baselard","55","[Main] All Races
DPS: 615 
LV 55 WAR BLM RDM THF PLD BRD NIN SCH GEO","11500","1","0.081276"
"darksteel baselard +1","55","[Main] All Races
DPS: 663 
LV 55 WAR BLM RDM THF PLD BRD NIN SCH GEO","30000","0","0.0144755"
"darksteel bolt","52","[Ammo] All Races
DPS: 1562 
LV 52 WAR DRK RNG","10","0","0.598714"
"darksteel bolt quiver","0","","3000","1","0.848328"
"darksteel bolt quiver x12","0","","2000","0","0.773666"
"darksteel bolt x99","52","[Ammo] All Races
DPS: 1562 
LV 52 WAR DRK RNG","6000","0","0.64984"
"darksteel breeches","59","[Legs] All Races

LV 59 WAR PLD DRK BST SAM NIN","19950","0","0.744821"
"darksteel breeches +1","59","[Legs] All Races

LV 59 WAR PLD DRK BST SAM NIN","30000","0","0"
"darksteel buckler","59","[Sub] All Races

LV 59 WAR RDM PLD BST SAM","10000","1","0.348468"
"darksteel cap","65","[Head] All Races

LV 65 WAR MNK RDM THF PLD DRK BST BRD SAM NIN DRG BLU COR DNC RUN","10000","1","1.4178"
"darksteel cap +1","65","[Head] All Races

LV 65 WAR MNK RDM THF PLD DRK BST BRD SAM NIN DRG BLU COR DNC RUN","20000","0","0.197326"
"darksteel chain","0","","20000","13","2.08815"
"darksteel chain x12","0","","200000","0","0.278356"
"darksteel claws","52","[Main] All Races
DPS: 275 
LV 52 WAR MNK DRK BST NIN PUP","99450","2","0.103331"
"darksteel claws +1","52","[Main] All Races
DPS: 303 
LV 52 WAR MNK DRK BST NIN PUP","25000","0","0.0172684"
"darksteel claymore","54","[Main] All Races
DPS: 871 
LV 54 WAR PLD DRK RUN","30000","3","1.45696"
"darksteel claymore +1","54","[Main] All Races
DPS: 909 
LV 54 WAR PLD DRK RUN","100000","0","0"
"darksteel codpiece","50","[Legs] All Races

LV 50 WAR BST","20000","0","0.0433522"
"darksteel cuirass","66","[Body] All Races

LV 66 PLD DRK","300000","0","0.0327626"
"darksteel cuirass +1","66","[Body] All Races

LV 66 PLD DRK","100000","0","0.00932641"
"darksteel cuisses","66","[Legs] All Races

LV 66 PLD DRK","100000","0","0.0304929"
"darksteel cuisses +1","66","[Legs] All Races

LV 66 PLD DRK","80000","0","0.00932411"
"darksteel falchion","53","[Main] All Races
DPS: 831 
LV 53 WAR THF DRK BST RNG SAM BLU","50000","2","0.793883"
"darksteel falx","57","[Main] All Races
DPS: 958 
LV 57 DRK","50000","0","0.0204283"
"darksteel falx +1","57","[Main] All Races
DPS: 991 
LV 57 DRK","100000","0","0"
"darksteel gauntlets","67","[Hands] All Races

LV 67 PLD DRK","100000","1","0.0311598"
"darksteel gauntlets +1","67","[Hands] All Races

LV 67 PLD DRK","30000","0","0.0160579"
"darksteel gorget","67","[Neck] All Races

LV 67 PLD DRK","10000","2","0.0148228"
"darksteel gorget +1","67","[Neck] All Races

LV 67 PLD DRK","50500","0","0"
"darksteel harness","65","[Body] All Races

LV 65 WAR MNK RDM THF PLD DRK BST BRD SAM NIN DRG BLU COR DNC RUN","50000","0","0.637253"
"darksteel harness +1","65","[Body] All Races

LV 65 WAR MNK RDM THF PLD DRK BST BRD SAM NIN DRG BLU COR DNC RUN","250000","0","0.0575687"
"darksteel hexagun","36","[Ranged] All Races
DPS: 312 
LV 36 COR","20000","2","0.13895"
"darksteel hexagun +1","36","[Ranged] All Races
DPS: 335 
LV 36 COR","40000","0","0.0292446"
"darksteel ingot","0","","9000","11","8.26193"
"darksteel ingot x12","0","","70000","37","5.65883"
"darksteel jambiya","54","[Main] All Races
DPS: 597 
LV 54 WAR THF PLD DRK BRD RNG SAM NIN DRG COR PUP DNC","20000","1","0.0781376"
"darksteel jambiya +1","54","[Main] All Races
DPS: 649 
LV 54 WAR THF PLD DRK BRD RNG SAM NIN DRG COR PUP DNC","125000","0","0"
"darksteel katars","59","[Main] All Races
DPS: 296 
LV 59 WAR MNK RDM DRK PUP","16000","2","0"
"darksteel katars +1","59","[Main] All Races
DPS: 324 
LV 59 WAR MNK RDM DRK PUP","0","0","0"
"darksteel kilij","65","[Main] All Races
DPS: 811 
LV 65 BLU","100000","2","0.0178689"
"darksteel kilij +1","65","[Main] All Races
DPS: 861 
LV 65 BLU","100000","0","0"
"darksteel knife","53","[Main] All Races
DPS: 585 
LV 53 WAR THF PLD DRK BRD RNG SAM NIN DRG COR PUP DNC","30000","2","0.0548892"
"darksteel knife +1","53","[Main] All Races
DPS: 632 
LV 53 WAR THF PLD DRK BRD RNG SAM NIN DRG COR PUP DNC","20000","1","0.0685665"
"darksteel knuckles","54","[Main] All Races
DPS: 268 
LV 54 WAR MNK RDM THF PLD DRK BST DNC","10000","0","0.0484754"
"darksteel knuckles +1","54","[Main] All Races
DPS: 294 
LV 54 WAR MNK RDM THF PLD DRK BST DNC","150000","0","0"
"darksteel kris","57","[Main] All Races
DPS: 653 
LV 57 BLM SMN SCH GEO","40000","2","0.016865"
"darksteel kris +1","57","[Main] All Races
DPS: 704 
LV 57 BLM SMN SCH GEO","20000","0","0"
"darksteel kukri","59","[Main] All Races
DPS: 660 
LV 59 WAR THF DRK RNG NIN COR PUP DNC","50000","3","0.117179"
"darksteel kukri +1","59","[Main] All Races
DPS: 711 
LV 59 WAR THF DRK RNG NIN COR PUP DNC","40000","0","0.403959"
"darksteel lance","58","[Main] All Races
DPS: 923 
LV 58 DRG","20000","0","0.0299099"
"darksteel lance +1","58","[Main] All Races
DPS: 963 
LV 58 DRG","100000","0","0"
"darksteel leggings","65","[Feet] All Races

LV 65 WAR MNK RDM THF PLD DRK BST BRD SAM NIN DRG BLU COR DNC RUN","40000","1","0.198873"
"darksteel leggings +1","65","[Feet] All Races

LV 65 WAR MNK RDM THF PLD DRK BST BRD SAM NIN DRG BLU COR DNC RUN","200000","0","0.0391201"
"darksteel mace","57","[Main] All Races
DPS: 610 
LV 57 WAR WHM PLD GEO","40000","2","0.10961"
"darksteel mace +1","57","[Main] All Races
DPS: 647 
LV 57 WAR WHM PLD GEO","50000","0","0"
"darksteel maul","65","[Main] All Races
DPS: 688 
LV 65 WHM GEO","30000","0","0.390808"
"darksteel maul +1","65","[Main] All Races
DPS: 719 
LV 65 WHM GEO","30000","0","0.0690729"
"darksteel mittens","63","[Hands] All Races

LV 63 WAR MNK RDM THF PLD DRK BST BRD SAM NIN DRG BLU COR DNC RUN","20000","0","0.0740538"
"darksteel mittens +1","63","[Hands] All Races

LV 63 WAR MNK RDM THF PLD DRK BST BRD SAM NIN DRG BLU COR DNC RUN","80000","0","0.0857714"
"darksteel mufflers","59","[Hands] All Races

LV 59 WAR PLD DRK BST SAM NIN","10000","1","0.375325"
"darksteel mufflers +1","59","[Hands] All Races

LV 59 WAR PLD DRK BST SAM NIN","20000","0","0"
"darksteel nodowa","63","[Neck] All Races

LV 63 SAM","4000","0","0"
"darksteel nodowa +1","63","[Neck] All Races

LV 63 SAM","10","0","0"
"darksteel nugget","0","","100","0","0.0303564"
"darksteel nugget x12","0","","1000","1","0.0174398"
"darksteel pick","62","[Main] All Races
DPS: 827 
LV 62 WAR DRK BST RUN","50000","0","0.0998"
"darksteel pick +1","62","[Main] All Races
DPS: 871 
LV 62 WAR DRK BST RUN","20000","0","0.813985"
"darksteel rod","61","[Main] All Races
DPS: 437 
LV 61 WHM BLM SMN SCH GEO","20000","0","0"
"darksteel rod +1","61","[Main] All Races
DPS: 465 
LV 61 WHM BLM SMN SCH GEO","0","0","0"
"darksteel sabatons","66","[Feet] All Races

LV 66 PLD DRK","100000","0","0.0227712"
"darksteel sabatons +1","66","[Feet] All Races

LV 66 PLD DRK","275000","0","0"
"darksteel sainti","65","[Main] All Races
DPS: 309 
LV 65 WAR MNK BST NIN PUP","45000","0","0.0465836"
"darksteel sainti +1","65","[Main] All Races
DPS: 332 
LV 65 WAR MNK BST NIN PUP","0","","0"
"darksteel scythe","65","[Main] All Races
DPS: 1011 
LV 65 DRK","30000","1","0.0856673"
"darksteel scythe +1","65","[Main] All Races
DPS: 1053 
LV 65 DRK","40000","1","0.0650634"
"darksteel sheet","0","","15000","18","1.82322"
"darksteel sheet x12","0","","100000","0","0.7652"
"darksteel shield","60","[Sub] All Races

LV 60 WAR PLD DRK","50000","0","0.0134989"
"darksteel shield +1","60","[Sub] All Races

LV 60 WAR PLD DRK","150000","0","0"
"darksteel sollerets","59","[Feet] All Races

LV 59 WAR PLD DRK BST SAM NIN","10000","0","0.468518"
"darksteel sollerets +1","59","[Feet] All Races

LV 59 WAR PLD DRK BST SAM NIN","25000","0","0"
"darksteel subligar","65","[Legs] All Races

LV 65 WAR MNK RDM THF PLD DRK BST BRD SAM NIN DRG BLU COR DNC RUN","50000","1","0.255369"
"darksteel subligar +1","65","[Legs] All Races

LV 65 WAR MNK RDM THF PLD DRK BST BRD SAM NIN DRG BLU COR DNC RUN","400000","0","0.073709"
"darksteel sword","51","[Main] All Races
DPS: 732 
LV 51 WAR RDM THF PLD DRK BRD RNG NIN DRG BLU RUN","15000","0","0.125015"
"darksteel sword +1","51","[Main] All Races
DPS: 793 
LV 51 WAR RDM THF PLD DRK BRD RNG NIN DRG BLU RUN","30000","0","0.018499"
"darksteel tabar","65","[Main] All Races
DPS: 912 
LV 65 BST","30000","0","0.169911"
"darksteel tabar +1","65","[Main] All Races
DPS: 958 
LV 65 BST","100000","0","0.0209372"
"darksteel voulge","55","[Main] All Races
DPS: 919 
LV 55 WAR","100000","0","0.0599081"
"darkwing","77","[Ranged] All Races
DPS: 833 
LV 77 WAR THF DRK RNG","19000","3","0.640382"
"darkwing +1","77","[Ranged] All Races
DPS: 879 
LV 77 WAR THF DRK RNG","200000","0","0.343079"
"dart","7","[Ammo] All Races
DPS: 214 
LV 7 WAR RDM THF DRK NIN COR RUN","1","0","0"
"dart +1","58","[Ammo] All Races
DPS: 750 
LV 58 WAR RDM THF DRK NIN COR RUN","2","2","0"
"dart +1 x99","58","[Ammo] All Races
DPS: 750 
LV 58 WAR RDM THF DRK NIN COR RUN","2000","0","0"
"dart x99","7","[Ammo] All Races
DPS: 214 
LV 7 WAR RDM THF DRK NIN COR RUN","7000","0","0.0826758"
"date","0","","3000","4","0.0223428"
"date x12","0","","5000","1","0.0127589"
"Datechochin","0","","800","1","0.0112957"
"Datechochin x99","0","","1000","2","0.179834"
"dawnsoul ring","90","[Finger] All Races

LV 90 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","300000","3","0.0630089"
"De Saintre's axe","39","[Main] All Races
DPS: 583 
LV 39 BST","20000","0","0.988926"
"deadeye gloves","60","[Hands] All Races

LV 60 WAR RDM THF PLD DRK BST BRD RNG SAM NIN DRG BLU COR DNC RUN","40000","1","0.0954525"
"Deae Gratia","74","[Main] All Races
DPS: 700 
LV 74 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN","30000","2","0.385681"
"death earring","67","[Ear] All Races

LV 67 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","10000","0","0.118008"
"death ring","72","[Finger] All Races

LV 72 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","15000","0","0"
